Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Accessment 1,Chrome 125.0.0.0,,,13-06-2024 14:30:16,13-06-2024 14:34:17,4m - 0.688s,FAILED
,,,,,,,
Test Cases/Accessment 1/Academic,Chrome 125.0.0.0,,,13-06-2024 14:30:16,13-06-2024 14:31:07,50.672s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:30:16,13-06-2024 14:30:19,2.329s,PASSED
"navigateToUrl(""https://www.andhrauniversity.edu.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:30:19,13-06-2024 14:30:33,13.953s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/span__navbar-toggler-icon fas fa-bars""))",Chrome 125.0.0.0,,,13-06-2024 14:30:33,13-06-2024 14:30:33,0.510s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/a_Academics""))",Chrome 125.0.0.0,,,13-06-2024 14:30:33,13-06-2024 14:30:34,0.475s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/a_A.U Trans-Disciplinary Hub""))",Chrome 125.0.0.0,,,13-06-2024 14:30:34,13-06-2024 14:30:35,1.542s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Trans- Disciplinary_35d469/a_Research Review Meeting (RRM) - July 2023 Result""))",Chrome 125.0.0.0,,,13-06-2024 14:30:35,13-06-2024 14:30:36,0.510s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Trans- Disciplinary_35d469/img""))",Chrome 125.0.0.0,,,13-06-2024 14:30:36,13-06-2024 14:30:38,2.254s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Trans- Disciplinary_35d469/b_On successful completion of the Doctoral _680601""))",Chrome 125.0.0.0,,,13-06-2024 14:30:38,13-06-2024 14:30:40,2.036s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Trans- Disciplinary_35d469/span__fas fa-bars""))",Chrome 125.0.0.0,,,13-06-2024 14:30:40,13-06-2024 14:30:42,2.043s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Trans- Disciplinary_35d469/section_Name  Prof. M. James Stephen       _acda29""))",Chrome 125.0.0.0,,,13-06-2024 14:30:42,13-06-2024 14:30:44,1.896s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Trans- Disciplinary_35d469/a_Research Review Meeting (RRM) - July 2023 Result""))",Chrome 125.0.0.0,,,13-06-2024 14:30:44,13-06-2024 14:30:46,2.094s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Trans- Disciplinary_35d469/a_Web Mail""))",Chrome 125.0.0.0,,,13-06-2024 14:30:46,13-06-2024 14:30:48,2.031s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:30:48,13-06-2024 14:31:07,18.643s,PASSED
,,,,,,,
Test Cases/Accessment 1/Administration,Chrome 125.0.0.0,,,13-06-2024 14:31:07,13-06-2024 14:31:40,32.957s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:31:07,13-06-2024 14:31:08,1.359s,PASSED
"navigateToUrl(""https://www.andhrauniversity.edu.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:31:08,13-06-2024 14:31:30,21.997s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/span__navbar-toggler-icon fas fa-bars""))",Chrome 125.0.0.0,,,13-06-2024 14:31:30,13-06-2024 14:31:31,0.396s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/a_Administration""))",Chrome 125.0.0.0,,,13-06-2024 14:31:31,13-06-2024 14:31:31,0.725s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Visakhapatnam/a_Executive Council""))",Chrome 125.0.0.0,,,13-06-2024 14:31:31,13-06-2024 14:31:32,0.587s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Executive Council/td_Dept. of Civil Engineering, AU College o_1cab9a""))",Chrome 125.0.0.0,,,13-06-2024 14:31:32,13-06-2024 14:31:32,0.367s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Executive Council/a_AU Menu""))",Chrome 125.0.0.0,,,13-06-2024 14:31:32,13-06-2024 14:31:33,0.537s,PASSED
"click(findTestObject(""Object Repository/Page_Andhra University  Executive Council/button__navbar-toggler p-0 border-0""))",Chrome 125.0.0.0,,,13-06-2024 14:31:33,13-06-2024 14:31:33,0.433s,PASSED
